Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Dell,Notebook,8,2,0,2.0,11.487095936335667,0,0,141.21,7,0,256
Lenovo,Notebook,8,0,0,2.05,10.580884344379838,0,0,141.21,5,0,256
Lenovo,Gaming,8,2,0,3.2,11.14492549142712,0,1,141.21,7,1000,0
Acer,Notebook,8,2,2,2.5,10.862111839946362,0,0,141.21,7,0,256
Dell,Workstation,16,2,0,3.42,11.94279918306742,0,0,127.34,7,0,256
Lenovo,Notebook,6,1,0,2.4,10.188204734039374,0,0,141.21,2,1000,0
Asus,Ultrabook,16,2,0,1.63,11.267230020589693,0,0,141.21,7,0,512
Asus,Notebook,4,0,0,1.3,10.20804591591181,0,0,111.94,3,0,128
Asus,Gaming,16,2,0,2.9,11.635684190215565,0,0,127.34,7,1000,256
Lenovo,Notebook,6,2,0,2.8,10.451022662038508,0,0,106.11,5,1000,0
Lenovo,Notebook,8,2,2,2.2,10.283693654349953,0,0,100.45,5,2000,0
Asus,Gaming,8,2,0,2.5,11.118403264255047,0,0,141.21,7,1000,128
Lenovo,Notebook,4,0,2,2.2,9.86168941507667,0,0,100.45,1,1000,0
HP,2 in 1 Convertible,16,0,0,1.28,11.563894206696261,1,0,165.63,7,0,256
Toshiba,Notebook,8,2,0,2.2,10.925435476055437,0,1,141.21,7,0,256
Lenovo,Notebook,8,2,0,2.3,10.683668026512203,0,0,141.21,5,1000,128
HP,Notebook,4,0,0,1.86,10.126203812574422,0,0,141.21,3,1000,0
Lenovo,Notebook,8,0,0,1.1,10.882334592260529,0,1,165.63,5,0,256
Dell,Ultrabook,16,0,0,1.21,11.799214467550595,1,1,331.26,7,0,1000
MSI,Gaming,16,2,0,2.8,11.624786287779711,0,1,141.21,7,1000,256
Acer,Notebook,8,1,0,2.23,10.126203812574422,0,0,141.21,2,0,256
Asus,2 in 1 Convertible,2,0,0,1.1,9.592400371638025,1,0,135.09,1,0,0
Dell,Notebook,8,1,0,2.33,10.71373575845852,0,0,141.21,5,1000,128
HP,2 in 1 Convertible,16,0,0,1.29,11.779003747004984,1,1,331.26,7,0,1000
Lenovo,Notebook,4,0,2,1.45,10.106610910488378,0,0,117.83,1,0,0
HP,Notebook,8,0,0,1.95,10.863132749518224,0,0,157.35,5,0,256
Acer,Notebook,4,0,0,1.4,10.159748614913156,0,0,135.09,1,0,0
HP,Notebook,8,0,0,1.48,11.139522237379978,0,0,157.35,7,0,256
